"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"16","0.5450055441474915","0.5450055441474915","0.5450055441474915","0.5161733167076111","0.5161733167076111","0.5161733167076111","1.709422527999878","1.709422527999878","1.709422527999878","1.868569863243103","1.868569863243103","1.868569863243103","0.4026013706588745","0.4026013706588745","0.4026013706588745","1.8000806323242187","1.8000806323242187","1.8000806323242187"
"17","0.5364616551017761","0.5364616551017761","0.5364616551017761","0.5177131723976135","0.5177131723976135","0.5177131723976135","1.706536721305847","1.706536721305847","1.706536721305847","1.8686290785980224","1.8686290785980224","1.8686290785980224","0.3970174935722351","0.3970174935722351","0.3970174935722351","1.8044597887420655","1.8044597887420655","1.8044597887420655"
"18","0.5430151172637939","0.5430151172637939","0.5430151172637939","0.5174322448348999","0.5174322448348999","0.5174322448348999","1.7059040811920165","1.7059040811920165","1.7059040811920165","1.8692781581878661","1.8692781581878661","1.8692781581878661","0.3952644160461426","0.3952644160461426","0.3952644160461426","1.8041973566436769","1.8041973566436769","1.8041973566436769"
"19","0.53549248960495","0.53549248960495","0.53549248960495","0.5148690714454651","0.5148690714454651","0.5148690714454651","1.6940864113998413","1.6940864113998413","1.6940864113998413","1.8684982693481444","1.8684982693481444","1.8684982693481444","0.3900668676567078","0.3900668676567078","0.3900668676567078","1.8054423678207396","1.8054423678207396","1.8054423678207396"
"20","0.2585273637866974","0.2585273637866974","0.2585273637866974","0.32275447018146514","0.32275447018146514","0.32275447018146514","1.0406771042442322","1.0406771042442322","1.0406771042442322","1.1614823374557495","1.1614823374557495","1.1614823374557495","0.23485475362300873","0.23485475362300873","0.23485475362300873","1.0243497065353393","1.0243497065353393","1.0243497065353393"
"21","0.10298988513946533","0.10298988513946533","0.10298988513946533","0.0931747532749176","0.0931747532749176","0.0931747532749176","0.4932655463027954","0.4932655463027954","0.4932655463027954","0.6556114793014526","0.6556114793014526","0.6556114793014526","0.05652115535795688","0.05652115535795688","0.05652115535795688","0.4615016845607758","0.4615016845607758","0.4615016845607758"
"22","0.06289842074394227","0.06289842074394227","0.06289842074394227","0.03204702163934708","0.03204702163934708","0.03204702163934708","0.33791787836074827","0.33791787836074827","0.33791787836074827","0.5023939763832093","0.5023939763832093","0.5023939763832093","0.0176659613224864","0.0176659613224864","0.0176659613224864","0.3121861337184906","0.3121861337184906","0.3121861337184906"
"23","0.04162205886602402","0.04162205886602402","0.04162205886602402","0.00989059107363224","0.00989059107363224","0.00989059107363224","0.25618619815826416","0.25618619815826416","0.25618619815826416","0.4214847889328003","0.4214847889328003","0.4214847889328003","0.006430259547382593","0.006430259547382593","0.006430259547382593","0.23852106251716615","0.23852106251716615","0.23852106251716615"
"24","0.02873900707900524","0.02873900707900524","0.02873900707900524","0.004013699115440249","0.004013699115440249","0.004013699115440249","0.20576016880989076","0.20576016880989076","0.20576016880989076","0.3600658940219879","0.3600658940219879","0.3600658940219879","0.0030008781215175987","0.0030008781215175987","0.0030008781215175987","0.18827071200847625","0.18827071200847625","0.18827071200847625"
"25","0.02100116447940469","0.02100116447940469","0.02100116447940469","0.001549496858306229","0.001549496858306229","0.001549496858306229","0.17075028799533845","0.17075028799533845","0.17075028799533845","0.32505719532489774","0.32505719532489774","0.32505719532489774","0.0025261180814169348","0.0025261180814169348","0.0025261180814169348","0.15974199197769165","0.15974199197769165","0.15974199197769165"
"26","0.016685586956441404","0.016685586956441404","0.016685586956441404","0.0008220169655233622","0.0008220169655233622","0.0008220169655233622","0.14579125170946122","0.14579125170946122","0.14579125170946122","0.2877169055843353","0.2877169055843353","0.2877169055843353","0.0018458666020911188","0.0018458666020911188","0.0018458666020911188","0.1306072900056839","0.1306072900056839","0.1306072900056839"
