"Step","resnet50_224_aug - acc","resnet50_224_aug - acc__MIN","resnet50_224_aug - acc__MAX","resnet18_224 - acc","resnet18_224 - acc__MIN","resnet18_224 - acc__MAX","resnet50_32_aug_3x3_relu - acc","resnet50_32_aug_3x3_relu - acc__MIN","resnet50_32_aug_3x3_relu - acc__MAX","resnet18_32_aug_3x3 - acc","resnet18_32_aug_3x3 - acc__MIN","resnet18_32_aug_3x3 - acc__MAX","resnet50_224 - acc","resnet50_224 - acc__MIN","resnet50_224 - acc__MAX","resnet50_32_aug_3x3 - acc","resnet50_32_aug_3x3 - acc__MIN","resnet50_32_aug_3x3 - acc__MAX"
"31","0.9691","0.9691","0.9691","0.9553","0.9553","0.9553","0.9266","0.9266","0.9266","0.8876","0.8876","0.8876","0.9665","0.9665","0.9665","0.9324","0.9324","0.9324"
"32","0.9684","0.9684","0.9684","0.9562","0.9562","0.9562","0.932","0.932","0.932","0.8881","0.8881","0.8881","0.967","0.967","0.967","0.9324","0.9324","0.9324"
"33","0.9696","0.9696","0.9696","0.9559","0.9559","0.9559","0.9302","0.9302","0.9302","0.8869","0.8869","0.8869","0.9666","0.9666","0.9666","0.934","0.934","0.934"
"34","0.9691","0.9691","0.9691","0.9544","0.9544","0.9544","0.9283","0.9283","0.9283","0.8931","0.8931","0.8931","0.9666","0.9666","0.9666","0.9341","0.9341","0.9341"
"35","0.9692","0.9692","0.9692","0.9553","0.9553","0.9553","0.9339","0.9339","0.9339","0.8952","0.8952","0.8952","0.9664","0.9664","0.9664","0.9308","0.9308","0.9308"
"36","0.9705","0.9705","0.9705","0.9551","0.9551","0.9551","0.931","0.931","0.931","0.8912","0.8912","0.8912","0.9672","0.9672","0.9672","0.9343","0.9343","0.9343"
"37","0.9683","0.9683","0.9683","0.9549","0.9549","0.9549","0.9329","0.9329","0.9329","0.8934","0.8934","0.8934","0.9661","0.9661","0.9661","0.9352","0.9352","0.9352"
"38","0.9713","0.9713","0.9713","0.9556","0.9556","0.9556","0.9333","0.9333","0.9333","0.8945","0.8945","0.8945","0.9669","0.9669","0.9669","0.9355","0.9355","0.9355"
"39","0.9717","0.9717","0.9717","0.9562","0.9562","0.9562","0.9338","0.9338","0.9338","0.9029","0.9029","0.9029","0.9677","0.9677","0.9677","0.9359","0.9359","0.9359"
"40","0.971","0.971","0.971","0.9557","0.9557","0.9557","0.9322","0.9322","0.9322","0.8863","0.8863","0.8863","0.968","0.968","0.968","0.9379","0.9379","0.9379"
"41","0.9709","0.9709","0.9709","0.9558","0.9558","0.9558","0.9322","0.9322","0.9322","0.8931","0.8931","0.8931","0.9674","0.9674","0.9674","0.938","0.938","0.938"
"42","0.9704","0.9704","0.9704","0.9551","0.9551","0.9551","0.9332","0.9332","0.9332","0.897","0.897","0.897","0.9674","0.9674","0.9674","0.938","0.938","0.938"
"43","0.9707","0.9707","0.9707","0.9563","0.9563","0.9563","0.9387","0.9387","0.9387","0.9016","0.9016","0.9016","0.9676","0.9676","0.9676","0.9353","0.9353","0.9353"
"44","0.9729","0.9729","0.9729","0.9564","0.9564","0.9564","0.9358","0.9358","0.9358","0.8979","0.8979","0.8979","0.969","0.969","0.969","0.9366","0.9366","0.9366"
"45","0.9712","0.9712","0.9712","0.9558","0.9558","0.9558","0.9337","0.9337","0.9337","0.8944","0.8944","0.8944","0.9685","0.9685","0.9685","0.939","0.939","0.939"
"46","0.9713","0.9713","0.9713","0.9561","0.9561","0.9561","0.9354","0.9354","0.9354","0.9034","0.9034","0.9034","0.9675","0.9675","0.9675","0.9397","0.9397","0.9397"
"47","0.972","0.972","0.972","0.9561","0.9561","0.9561","0.936","0.936","0.936","0.8999","0.8999","0.8999","0.9687","0.9687","0.9687","0.9377","0.9377","0.9377"
"48","0.9731","0.9731","0.9731","0.956","0.956","0.956","0.9364","0.9364","0.9364","0.9095","0.9095","0.9095","0.9683","0.9683","0.9683","0.9381","0.9381","0.9381"
"49","0.9666","0.9666","0.9666","0.9551","0.9551","0.9551","0.9359","0.9359","0.9359","0.901","0.901","0.901","0.9682","0.9682","0.9682","0.9378","0.9378","0.9378"
"50","0.9689","0.9689","0.9689","0.9551","0.9551","0.9551","0.9358","0.9358","0.9358","0.9034","0.9034","0.9034","0.9677","0.9677","0.9677","0.939","0.939","0.939"
"51","0.9712","0.9712","0.9712","0.9565","0.9565","0.9565","0.9353","0.9353","0.9353","0.9031","0.9031","0.9031","0.9682","0.9682","0.9682","0.9424","0.9424","0.9424"
"52","0.9708","0.9708","0.9708","0.9553","0.9553","0.9553","0.9383","0.9383","0.9383","0.9034","0.9034","0.9034","0.969","0.969","0.969","0.941","0.941","0.941"
"53","0.9713","0.9713","0.9713","0.9556","0.9556","0.9556","0.9408","0.9408","0.9408","0.9031","0.9031","0.9031","0.9682","0.9682","0.9682","0.9409","0.9409","0.9409"
"54","0.9701","0.9701","0.9701","0.9557","0.9557","0.9557","0.9369","0.9369","0.9369","0.9007","0.9007","0.9007","0.9677","0.9677","0.9677","0.938","0.938","0.938"
"55","0.9712","0.9712","0.9712","0.9561","0.9561","0.9561","0.9393","0.9393","0.9393","0.9015","0.9015","0.9015","0.9678","0.9678","0.9678","0.9405","0.9405","0.9405"
"56","0.9705","0.9705","0.9705","0.9547","0.9547","0.9547","0.9385","0.9385","0.9385","0.8982","0.8982","0.8982","0.9688","0.9688","0.9688","0.94","0.94","0.94"
"57","0.9722","0.9722","0.9722","0.9558","0.9558","0.9558","0.9427","0.9427","0.9427","0.9048","0.9048","0.9048","0.9689","0.9689","0.9689","0.9425","0.9425","0.9425"
"58","0.972","0.972","0.972","0.9556","0.9556","0.9556","0.9391","0.9391","0.9391","0.9033","0.9033","0.9033","0.9683","0.9683","0.9683","0.9398","0.9398","0.9398"
"59","0.9705","0.9705","0.9705","0.9558","0.9558","0.9558","0.9374","0.9374","0.9374","0.9021","0.9021","0.9021","0.9691","0.9691","0.9691","0.9418","0.9418","0.9418"
"60","0.9715","0.9715","0.9715","0.9549","0.9549","0.9549","0.9384","0.9384","0.9384","0.9082","0.9082","0.9082","0.9691","0.9691","0.9691","0.9433","0.9433","0.9433"
"61","0.9696","0.9696","0.9696","0.9561","0.9561","0.9561","0.9405","0.9405","0.9405","0.9055","0.9055","0.9055","0.9692","0.9692","0.9692","0.9446","0.9446","0.9446"
